Edad;AporteMensual
66;77,322
67;0
42;36
52;0
54;0
23;25,774
26;0
6;0
66;77,322
60;492
48;25,774
63;492
22;25,774
62;158,4
59;78,84
30;0
11;0
4;0
57;77,322
91;0
73;0
23;0
3;0
27;200
81;890
65;200
57;0
19;0
50;0,098
60;0,098
61;0
60;0
32;0,098
29;90
24;82,8
78;0,099
94;0
72;0
53;0
55;0
28;0
8;0
51;0
12;0
42;0
9;0
63;0
75;77,322
19;0
29;0
63;0
39;120
39;0
15;0
6;0
21;0
49;98
51;0
29;28
22;0
22;40
53;0
42;80,5
13;0
11;0
10;0
10;0
33;100
34;0,098
2;0
36;87,4
38;90
5;0
62;150
56;271,43
76;0
64;0
21;0
21;0
24;0
47;160
39;0
17;0
14;0
9;0
51;400
53;80,5
15;0
75;80,5
55;80,5
51;0
17;0
14;0
46;80,5
37;164
42;353,2
37;0
66;77
72;240
